epoch,mAP_50:95,AP_50,AP_75,train_loss,val_loss,train_loss_box_reg,val_loss_box_reg,lr,duration_s
1,0.0665,0.2145,0.0147,1.8256,1.6113,0.7990,0.8131,0.001000,68.65
2,0.2106,0.5604,0.0701,1.4190,1.2864,0.7507,0.6540,0.001000,67.05
3,0.1917,0.5726,0.0632,1.1382,1.1352,0.6140,0.5852,0.001000,66.67
4,0.3785,0.8438,0.3028,1.0809,0.9605,0.5811,0.5405,0.000999,66.02
5,0.2929,0.8695,0.0994,0.9948,1.1407,0.5365,0.6244,0.000999,65.76
6,0.4510,0.9788,0.4194,0.9479,0.8180,0.5170,0.4581,0.000998,65.87
7,0.4428,0.9784,0.3442,0.8972,0.8444,0.4867,0.4888,0.000998,65.63
8,0.4711,0.9327,0.4109,0.8492,0.8419,0.4669,0.4749,0.000997,65.38
9,0.4483,0.9475,0.3102,0.8555,0.9021,0.4665,0.5084,0.000996,65.38
10,0.4840,0.9623,0.3609,0.8277,0.8234,0.4575,0.4491,0.000995,65.39
11,0.4556,0.9594,0.2515,0.8200,0.8161,0.4441,0.4798,0.000994,65.53
12,0.5152,0.9477,0.4815,0.7782,0.7199,0.4319,0.4073,0.000993,65.60
13,0.5629,0.9940,0.5016,0.7374,0.6860,0.4041,0.3824,0.000991,65.35
14,0.5824,0.9783,0.7070,0.8075,0.6679,0.4322,0.3804,0.000990,65.78
15,0.5025,0.9681,0.4217,0.7269,0.6952,0.3995,0.3989,0.000988,65.35
16,0.5471,0.9555,0.4847,0.7395,0.6848,0.4113,0.3869,0.000986,65.43
17,0.5678,0.9564,0.5531,0.7415,0.6091,0.4033,0.3445,0.000984,65.42
18,0.5372,0.9454,0.5118,0.7213,0.6172,0.3959,0.3486,0.000982,65.05
19,0.5048,0.9790,0.3435,0.7246,0.6782,0.3986,0.3856,0.000980,65.69
20,0.5182,0.9783,0.4378,0.6924,0.7127,0.3868,0.3921,0.000978,65.37
21,0.5849,0.9961,0.5643,0.6702,0.6054,0.3719,0.3447,0.000976,65.33
22,0.6279,0.9993,0.8193,0.6731,0.5625,0.3726,0.3193,0.000973,65.37
23,0.6140,1.0000,0.7673,0.6706,0.5496,0.3724,0.3150,0.000970,65.39
24,0.5802,1.0000,0.6366,0.6280,0.6043,0.3498,0.3557,0.000968,65.33
25,0.6055,1.0000,0.6426,0.6010,0.5739,0.3375,0.3344,0.000965,65.23
26,0.6520,1.0000,0.7755,0.6459,0.5205,0.3559,0.2999,0.000962,65.24
27,0.5700,1.0000,0.5528,0.6328,0.6799,0.3484,0.3938,0.000959,65.43
28,0.5499,1.0000,0.4820,0.6424,0.6300,0.3552,0.3636,0.000956,65.34
29,0.5671,1.0000,0.5816,0.6875,0.6380,0.3701,0.3595,0.000952,65.31
30,0.5483,1.0000,0.4941,0.6341,0.6200,0.3447,0.3627,0.000949,65.36
31,0.5950,0.9802,0.6466,0.6352,0.5695,0.3468,0.3225,0.000946,65.72
32,0.6335,1.0000,0.7410,0.6418,0.6599,0.3514,0.3776,0.000942,65.40
33,0.6019,1.0000,0.6659,0.6147,0.5266,0.3424,0.3046,0.000938,65.50
34,0.5974,1.0000,0.6201,0.6246,0.5760,0.3446,0.3284,0.000934,65.33
35,0.6027,1.0000,0.6634,0.5973,0.5734,0.3318,0.3265,0.000930,65.11
36,0.6526,1.0000,0.8083,0.5849,0.4974,0.3256,0.2892,0.000926,65.32
37,0.5256,0.9799,0.4582,0.5992,0.5958,0.3307,0.3496,0.000922,65.25
38,0.5887,1.0000,0.6586,0.5927,0.4985,0.3256,0.2860,0.000918,65.14
39,0.5691,1.0000,0.4969,0.6052,0.5916,0.3319,0.3313,0.000914,65.36
40,0.5591,1.0000,0.6661,0.5819,0.6041,0.3148,0.3548,0.000909,65.00
41,0.5750,0.9997,0.6208,0.5719,0.5557,0.3149,0.3272,0.000905,65.11
42,0.5817,1.0000,0.6417,0.5887,0.5801,0.3261,0.3252,0.000900,65.32
43,0.6154,0.9993,0.6878,0.5949,0.6327,0.3243,0.3588,0.000895,65.38
44,0.6173,1.0000,0.6698,0.5636,0.5885,0.3107,0.3537,0.000890,65.22
45,0.6936,0.9993,0.8511,0.5705,0.4288,0.3151,0.2455,0.000885,65.11
46,0.6900,1.0000,0.8420,0.5298,0.4356,0.2967,0.2471,0.000880,65.45
47,0.6858,0.9997,0.8494,0.5956,0.4786,0.3291,0.2735,0.000875,65.15
48,0.5881,1.0000,0.6122,0.5689,0.5519,0.3137,0.3136,0.000870,65.40
49,0.6262,1.0000,0.7540,0.5480,0.5095,0.3020,0.2906,0.000864,65.32
50,0.6490,0.9993,0.7855,0.5672,0.5224,0.3095,0.2892,0.000859,65.17
51,0.7097,1.0000,0.9205,0.5526,0.4337,0.3065,0.2507,0.000854,65.37
52,0.5411,1.0000,0.5166,0.6101,0.6502,0.3275,0.3606,0.000848,65.42
53,0.6709,0.9997,0.8590,0.5346,0.5147,0.2956,0.3011,0.000842,65.06
54,0.6167,0.9802,0.8091,0.5507,0.5080,0.3062,0.2988,0.000837,65.31
55,0.6390,1.0000,0.7884,0.5160,0.5197,0.2888,0.3013,0.000831,65.23
56,0.6472,1.0000,0.8763,0.5593,0.5589,0.3104,0.3307,0.000825,65.31
57,0.5958,1.0000,0.6842,0.5425,0.5641,0.2996,0.3202,0.000819,65.41
58,0.6904,1.0000,0.8578,0.5179,0.4773,0.2849,0.2789,0.000813,65.50
59,0.6197,1.0000,0.7587,0.5887,0.5151,0.3214,0.3001,0.000806,65.22
60,0.5904,0.9990,0.5990,0.5652,0.5781,0.3085,0.3280,0.000800,65.43
61,0.6517,1.0000,0.8163,0.4809,0.4890,0.2721,0.2778,0.000794,65.15
62,0.6362,0.9997,0.7757,0.5743,0.5172,0.3137,0.2962,0.000788,65.25
63,0.6040,1.0000,0.7194,0.5143,0.5401,0.2884,0.3133,0.000781,65.17
64,0.5740,1.0000,0.5912,0.5329,0.5955,0.2939,0.3497,0.000775,65.37
65,0.6716,1.0000,0.8577,0.5411,0.4740,0.2974,0.2703,0.000768,65.30
66,0.6684,1.0000,0.9288,0.4743,0.4824,0.2653,0.2812,0.000761,65.38
67,0.5983,1.0000,0.7556,0.4977,0.5751,0.2788,0.3281,0.000755,65.26
68,0.6380,1.0000,0.8072,0.4869,0.4664,0.2698,0.2741,0.000748,65.25
69,0.6791,1.0000,0.8331,0.5124,0.3965,0.2864,0.2301,0.000741,65.33
70,0.6536,1.0000,0.8081,0.4982,0.4463,0.2741,0.2556,0.000734,65.17
71,0.6254,1.0000,0.7633,0.4696,0.5210,0.2594,0.2883,0.000727,65.36
72,0.6028,1.0000,0.7516,0.4763,0.5514,0.2644,0.3140,0.000720,65.43
73,0.6863,1.0000,0.8843,0.5443,0.4710,0.2908,0.2706,0.000713,65.48
74,0.6814,1.0000,0.8926,0.4812,0.4016,0.2704,0.2360,0.000706,65.02
75,0.6357,0.9993,0.7872,0.5069,0.4209,0.2831,0.2401,0.000699,65.43
76,0.6497,1.0000,0.7812,0.4829,0.4970,0.2665,0.2892,0.000691,65.16
77,0.6574,1.0000,0.8486,0.4797,0.5001,0.2681,0.2815,0.000684,65.19
78,0.6832,1.0000,0.7743,0.4860,0.4153,0.2711,0.2404,0.000677,65.13
79,0.6535,1.0000,0.7821,0.5072,0.4495,0.2785,0.2575,0.000669,65.31
80,0.6714,1.0000,0.8238,0.4986,0.4166,0.2768,0.2372,0.000662,65.39
81,0.7039,1.0000,0.9187,0.4431,0.3774,0.2500,0.2236,0.000655,65.55
82,0.6549,1.0000,0.9108,0.4838,0.4935,0.2692,0.2770,0.000647,65.15
83,0.6739,1.0000,0.9574,0.4679,0.5100,0.2601,0.2899,0.000639,65.30
84,0.6770,0.9997,0.8959,0.4627,0.4362,0.2597,0.2552,0.000632,65.19
85,0.7021,1.0000,0.8121,0.4811,0.3788,0.2669,0.2194,0.000624,65.13
86,0.6785,1.0000,0.8635,0.4176,0.4203,0.2372,0.2531,0.000617,65.31
87,0.6959,1.0000,0.8831,0.4513,0.4263,0.2532,0.2461,0.000609,65.35
88,0.5862,1.0000,0.4802,0.4994,0.5942,0.2747,0.3344,0.000601,65.37
89,0.6744,1.0000,0.8743,0.4827,0.4931,0.2691,0.2821,0.000594,65.41
90,0.6840,1.0000,0.9030,0.4587,0.4821,0.2584,0.2751,0.000586,65.39
91,0.6778,1.0000,0.8607,0.4642,0.4245,0.2567,0.2429,0.000578,65.29
92,0.7475,1.0000,0.9331,0.4677,0.3976,0.2576,0.2309,0.000570,65.41
93,0.7199,1.0000,0.9558,0.4990,0.3921,0.2738,0.2236,0.000563,65.12
94,0.7048,1.0000,0.9124,0.4726,0.4310,0.2624,0.2518,0.000555,65.34
95,0.7399,1.0000,0.9130,0.4375,0.4028,0.2477,0.2280,0.000547,65.37
96,0.7048,1.0000,0.8828,0.4303,0.4431,0.2419,0.2609,0.000539,65.09
97,0.7272,1.0000,0.9206,0.4432,0.3933,0.2485,0.2253,0.000531,65.08
98,0.7165,1.0000,0.8895,0.4871,0.4078,0.2683,0.2320,0.000524,65.12
99,0.7579,1.0000,0.9467,0.4273,0.3472,0.2391,0.2041,0.000516,65.44
100,0.7024,1.0000,0.9522,0.4464,0.4045,0.2509,0.2327,0.000508,65.15
101,0.6951,1.0000,0.9134,0.4369,0.4320,0.2464,0.2500,0.000500,65.13
102,0.7196,1.0000,0.9182,0.4312,0.4349,0.2419,0.2451,0.000492,65.30
103,0.7101,1.0000,0.8727,0.4793,0.4269,0.2685,0.2441,0.000484,65.25
104,0.7166,1.0000,0.8881,0.4349,0.3832,0.2425,0.2268,0.000476,65.58
105,0.6998,1.0000,0.9133,0.4651,0.4133,0.2585,0.2335,0.000469,65.43
106,0.7617,1.0000,0.9310,0.4525,0.3807,0.2513,0.2303,0.000461,65.69
107,0.6940,1.0000,0.9282,0.4781,0.4682,0.2665,0.2776,0.000453,65.33
108,0.7309,1.0000,0.9546,0.4474,0.3968,0.2536,0.2346,0.000445,65.25
109,0.7167,1.0000,0.9254,0.4729,0.3871,0.2620,0.2287,0.000437,65.35
110,0.6646,1.0000,0.9234,0.4086,0.4214,0.2298,0.2484,0.000430,65.29
111,0.6707,0.9802,0.9165,0.4350,0.3764,0.2417,0.2171,0.000422,65.56
112,0.7115,1.0000,0.9149,0.4323,0.3502,0.2420,0.2016,0.000414,65.13
113,0.7184,1.0000,0.9176,0.4490,0.3956,0.2510,0.2259,0.000406,65.27
114,0.6500,1.0000,0.8639,0.4065,0.4356,0.2275,0.2540,0.000399,65.47
115,0.6849,1.0000,0.9201,0.4142,0.4738,0.2302,0.2732,0.000391,65.25
116,0.7194,1.0000,0.9160,0.3952,0.3983,0.2205,0.2392,0.000383,65.31
117,0.7411,1.0000,0.9279,0.4517,0.3496,0.2490,0.2039,0.000376,65.35
118,0.7407,1.0000,0.9199,0.4281,0.3907,0.2383,0.2337,0.000368,65.31
119,0.6951,1.0000,0.9470,0.4237,0.3802,0.2355,0.2210,0.000361,65.11
120,0.7018,1.0000,0.9525,0.4149,0.3923,0.2306,0.2306,0.000353,65.30
121,0.7144,1.0000,0.9574,0.4112,0.4193,0.2283,0.2464,0.000345,65.29
122,0.7095,1.0000,0.9118,0.3797,0.3892,0.2148,0.2236,0.000338,65.26
123,0.6186,0.9802,0.8845,0.4203,0.5099,0.2356,0.2932,0.000331,65.47
124,0.6898,1.0000,0.8853,0.3770,0.4499,0.2142,0.2582,0.000323,65.37
125,0.7527,1.0000,0.9153,0.4252,0.3406,0.2388,0.2007,0.000316,65.23
126,0.7277,1.0000,0.9086,0.4004,0.4098,0.2264,0.2336,0.000309,65.22
127,0.7203,1.0000,0.9251,0.4161,0.3815,0.2358,0.2212,0.000301,65.24
128,0.7434,1.0000,0.9541,0.4122,0.3814,0.2307,0.2238,0.000294,65.18
129,0.7561,1.0000,0.9109,0.3974,0.3883,0.2229,0.2254,0.000287,65.41
130,0.7161,1.0000,0.9102,0.3871,0.3608,0.2166,0.2057,0.000280,65.08
131,0.7567,1.0000,0.9335,0.4020,0.3224,0.2238,0.1856,0.000273,65.18
132,0.6953,1.0000,0.8871,0.4476,0.3821,0.2478,0.2226,0.000266,65.37
133,0.6274,1.0000,0.7750,0.4115,0.4775,0.2276,0.2707,0.000259,65.16
134,0.7096,1.0000,0.9281,0.4049,0.4227,0.2262,0.2471,0.000252,65.32
135,0.5705,0.9802,0.5943,0.4353,0.5381,0.2441,0.3068,0.000245,65.23
136,0.7707,1.0000,0.9105,0.4409,0.3179,0.2436,0.1820,0.000239,65.48
137,0.7538,1.0000,0.9516,0.4342,0.3588,0.2429,0.2054,0.000232,65.33
138,0.7460,1.0000,0.9562,0.4148,0.3428,0.2315,0.2004,0.000225,65.50
139,0.6687,0.9802,0.9201,0.4109,0.4336,0.2265,0.2539,0.000219,65.41
140,0.7340,1.0000,0.9304,0.3944,0.3921,0.2188,0.2228,0.000212,65.39
141,0.7126,1.0000,0.8911,0.4344,0.4352,0.2411,0.2574,0.000206,65.21
142,0.7329,1.0000,0.9178,0.3878,0.3879,0.2155,0.2215,0.000200,65.43
143,0.7752,1.0000,0.9097,0.3895,0.3193,0.2163,0.1800,0.000194,65.07
144,0.6108,1.0000,0.7835,0.4091,0.5436,0.2297,0.3183,0.000187,65.43
145,0.7717,1.0000,0.8930,0.3728,0.3212,0.2104,0.1842,0.000181,65.25
146,0.7537,1.0000,0.9086,0.4285,0.3616,0.2378,0.2125,0.000175,65.45
147,0.6314,1.0000,0.8547,0.4087,0.5370,0.2312,0.3174,0.000169,65.48
148,0.6442,1.0000,0.8831,0.4035,0.4749,0.2281,0.2816,0.000163,65.53
149,0.7035,1.0000,0.9057,0.3957,0.3950,0.2204,0.2300,0.000158,65.37
150,0.7660,1.0000,0.9326,0.3598,0.3216,0.2027,0.1843,0.000152,65.55
151,0.7270,1.0000,0.9252,0.3786,0.3634,0.2126,0.2107,0.000146,65.36
152,0.7793,1.0000,0.9122,0.3949,0.3210,0.2218,0.1840,0.000141,65.41
153,0.6118,1.0000,0.8088,0.3941,0.5476,0.2177,0.3143,0.000136,65.21
154,0.7384,1.0000,0.9103,0.4301,0.3569,0.2382,0.2059,0.000130,65.25
155,0.6888,1.0000,0.9241,0.3787,0.4251,0.2133,0.2533,0.000125,65.24
156,0.7139,1.0000,0.8997,0.3540,0.4158,0.1999,0.2392,0.000120,65.32
157,0.7543,1.0000,0.9089,0.4027,0.3657,0.2285,0.2098,0.000115,65.39
158,0.7412,1.0000,0.9252,0.3385,0.3787,0.1914,0.2197,0.000110,65.05
159,0.7317,1.0000,0.9051,0.4073,0.3739,0.2242,0.2218,0.000105,65.07
160,0.7340,1.0000,0.9232,0.3710,0.4000,0.2097,0.2326,0.000100,65.37
