Epoch,mAP_50:95,AP_50,Seed
1,0.1308,0.3547,2590701612
2,0.3010,0.6888,2590701612
3,0.3878,0.8057,2590701612
4,0.3921,0.8987,2590701612
5,0.3982,0.8461,2590701612
6,0.4183,0.9375,2590701612
7,0.4412,0.9229,2590701612
8,0.4943,0.9684,2590701612
9,0.5137,0.9309,2590701612
10,0.5195,0.9501,2590701612
11,0.4910,0.9647,2590701612
12,0.5021,0.9669,2590701612
