Metric,Train Mean,Test Mean
Brightness,91.21259727570433,120.23713406615106
Contrast,77.5070956029415,63.47444979957073
Sharpness,451.9277859506393,820.8250934386706
Blue Mean,90.33715101561128,120.10081980722089
Green Mean,90.89056597770757,119.95450080285825
Red Mean,92.17390766590421,120.84219363553215
