epoch,mAP_50:95,AP_50,AP_75,train_loss,val_loss,train_loss_box_reg,val_loss_box_reg,lr,duration_s
69,0.5919,1.0000,0.7030,0.4791,0.6192,0.2756,0.3670,0.000425,65.52
70,0.6785,1.0000,0.9234,0.4702,0.5103,0.2676,0.2924,0.000412,65.37
71,0.6781,1.0000,0.8685,0.4566,0.4830,0.2605,0.2757,0.000398,65.37
72,0.7356,1.0000,0.9260,0.4587,0.4444,0.2627,0.2495,0.000385,65.79
73,0.6763,1.0000,0.8641,0.4615,0.4840,0.2637,0.2664,0.000372,65.54
74,0.7180,1.0000,0.8973,0.4595,0.5022,0.2650,0.2835,0.000359,65.24
75,0.6367,1.0000,0.8004,0.4548,0.5162,0.2616,0.2897,0.000345,65.51
76,0.6241,1.0000,0.7625,0.4732,0.5279,0.2739,0.2868,0.000333,65.42
77,0.6956,1.0000,0.8937,0.4508,0.4439,0.2593,0.2524,0.000320,65.51
78,0.7114,1.0000,0.9220,0.4585,0.4521,0.2627,0.2537,0.000307,65.44
79,0.6760,1.0000,0.8305,0.4370,0.5223,0.2513,0.3048,0.000295,65.43
80,0.7077,1.0000,0.9275,0.4321,0.4944,0.2494,0.2801,0.000282,65.22
81,0.6897,1.0000,0.8361,0.4564,0.5490,0.2583,0.3044,0.000270,65.30
82,0.6697,1.0000,0.9056,0.4392,0.4634,0.2526,0.2630,0.000258,65.55
83,0.5085,1.0000,0.4089,0.5007,0.6966,0.2888,0.3858,0.000246,65.14
84,0.5639,1.0000,0.6232,0.4421,0.6644,0.2556,0.3841,0.000234,65.74
85,0.6833,1.0000,0.8914,0.4285,0.5488,0.2468,0.3177,0.000223,65.60
86,0.7548,1.0000,0.9318,0.4333,0.3720,0.2487,0.2110,0.000212,65.19
87,0.7694,1.0000,0.9346,0.4355,0.4167,0.2488,0.2352,0.000201,65.42
88,0.7285,1.0000,0.9176,0.4212,0.4550,0.2412,0.2598,0.000190,65.15
89,0.7104,1.0000,0.9211,0.4123,0.5017,0.2407,0.2806,0.000179,65.53
90,0.7694,1.0000,0.9346,0.4368,0.3707,0.2495,0.2159,0.000169,65.65
91,0.7648,1.0000,0.9321,0.4640,0.4227,0.2715,0.2451,0.000159,65.60
92,0.6903,1.0000,0.9305,0.4422,0.4644,0.2569,0.2634,0.000149,65.16
93,0.7518,1.0000,0.9325,0.4089,0.4392,0.2370,0.2518,0.000139,65.52
94,0.7954,1.0000,0.9379,0.4314,0.3702,0.2488,0.2046,0.000130,65.22
95,0.4928,1.0000,0.3567,0.4316,0.7418,0.2483,0.4080,0.000121,65.34
96,0.7717,1.0000,0.9326,0.4283,0.3965,0.2444,0.2250,0.000112,65.37
97,0.7095,1.0000,0.8795,0.4263,0.4428,0.2459,0.2515,0.000104,65.40
98,0.7562,1.0000,0.9132,0.4212,0.4045,0.2411,0.2332,0.000095,65.41
99,0.7521,1.0000,0.9549,0.4271,0.4358,0.2459,0.2515,0.000088,65.51
100,0.7121,1.0000,0.8921,0.4272,0.4848,0.2428,0.2811,0.000080,65.41
101,0.6916,1.0000,0.8963,0.4292,0.5028,0.2459,0.2819,0.000073,65.47
102,0.7485,1.0000,0.9531,0.4198,0.4102,0.2430,0.2366,0.000066,65.72
103,0.7788,1.0000,0.9330,0.4180,0.3707,0.2390,0.2122,0.000059,65.52
104,0.7666,1.0000,0.9330,0.4167,0.3803,0.2400,0.2146,0.000053,65.52
105,0.7147,1.0000,0.9167,0.4110,0.4745,0.2352,0.2723,0.000047,65.40
106,0.7637,1.0000,0.9349,0.4104,0.3809,0.2335,0.2148,0.000041,65.50
107,0.7729,1.0000,0.9537,0.3953,0.3754,0.2249,0.2129,0.000036,65.31
108,0.7687,1.0000,0.9346,0.4555,0.3687,0.2603,0.2106,0.000031,65.61
109,0.7353,1.0000,0.9483,0.4183,0.4440,0.2392,0.2536,0.000027,65.38
110,0.7559,1.0000,0.9579,0.4148,0.4320,0.2363,0.2469,0.000022,65.34
111,0.7596,1.0000,0.9799,0.4067,0.4250,0.2328,0.2445,0.000019,65.45
112,0.7503,1.0000,0.9583,0.4299,0.4305,0.2499,0.2456,0.000015,65.47
113,0.7544,1.0000,0.9324,0.4259,0.4156,0.2436,0.2404,0.000012,65.46
114,0.7689,1.0000,0.9333,0.4044,0.3947,0.2317,0.2264,0.000009,65.30
115,0.7580,1.0000,0.9579,0.4046,0.4121,0.2329,0.2362,0.000007,65.47
116,0.7595,1.0000,0.9799,0.4126,0.4149,0.2361,0.2402,0.000005,65.34
117,0.7552,1.0000,0.9525,0.3969,0.4000,0.2301,0.2301,0.000003,65.54
118,0.7638,1.0000,0.9521,0.4242,0.3876,0.2446,0.2228,0.000002,65.38
119,0.7696,1.0000,0.9528,0.4207,0.3883,0.2423,0.2233,0.000001,65.54
120,0.7734,1.0000,0.9528,0.4052,0.3908,0.2337,0.2247,0.000000,65.32
